locus_tag	ftype	length_bp	gene	EC_number	COG	product
MHJAIAPH_00001	CDS	1332	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
MHJAIAPH_00002	CDS	1071	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
MHJAIAPH_00003	CDS	1485	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
MHJAIAPH_00004	CDS	483	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
MHJAIAPH_00005	CDS	1566				hypothetical protein
MHJAIAPH_00006	CDS	1905	mutL			DNA mismatch repair protein MutL
MHJAIAPH_00007	CDS	930				hypothetical protein
MHJAIAPH_00008	CDS	957				hypothetical protein
MHJAIAPH_00009	CDS	645				hypothetical protein
MHJAIAPH_00010	CDS	741	phaB_1	1.1.1.36		Acetoacetyl-CoA reductase
MHJAIAPH_00011	CDS	921	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
MHJAIAPH_00012	CDS	867	htpX	3.4.24.-	COG0501	Protease HtpX
MHJAIAPH_00013	CDS	828	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
MHJAIAPH_00014	CDS	771	trmJ	2.1.1.-		tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ
MHJAIAPH_00015	CDS	903				hypothetical protein
MHJAIAPH_00016	CDS	2127				hypothetical protein
MHJAIAPH_00017	CDS	1017	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
MHJAIAPH_00018	CDS	567	efp		COG0231	Elongation factor P
MHJAIAPH_00019	CDS	1344	dadD	3.5.4.31		5'-deoxyadenosine deaminase
MHJAIAPH_00020	CDS	717	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
MHJAIAPH_00021	CDS	696	mupP_1	3.1.3.105	COG0546	N-acetylmuramic acid 6-phosphate phosphatase
MHJAIAPH_00022	CDS	705				hypothetical protein
MHJAIAPH_00023	CDS	846				hypothetical protein
MHJAIAPH_00024	CDS	1347	allB	3.5.2.5	COG0044	Allantoinase
MHJAIAPH_00025	CDS	1218	dksA			RNA polymerase-binding transcription factor DksA
MHJAIAPH_00026	CDS	1248	entS_1			Enterobactin exporter EntS
MHJAIAPH_00027	CDS	453	sufE		COG2166	Cysteine desulfuration protein SufE
MHJAIAPH_00028	CDS	1377	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
MHJAIAPH_00029	CDS	570				hypothetical protein
MHJAIAPH_00030	CDS	1011	argF'	2.1.3.9	COG0078	N-acetylornithine carbamoyltransferase
MHJAIAPH_00031	CDS	1194	argG	6.3.4.5	COG0137	Argininosuccinate synthase
MHJAIAPH_00032	CDS	1089	argE'	3.5.1.-	COG0624	N-acetyl-L-citrulline deacetylase
MHJAIAPH_00033	CDS	1329	argB	2.7.2.8		Acetylglutamate kinase
MHJAIAPH_00034	CDS	600				hypothetical protein
MHJAIAPH_00035	CDS	954	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
MHJAIAPH_00036	CDS	1296	argH	4.3.2.1	COG0165	Argininosuccinate lyase
MHJAIAPH_00037	CDS	264				hypothetical protein
MHJAIAPH_00038	CDS	1158	proB	2.7.2.11	COG0263	Glutamate 5-kinase
MHJAIAPH_00039	CDS	1272	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
MHJAIAPH_00040	CDS	471				hypothetical protein
MHJAIAPH_00041	CDS	1257	pgaC	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
MHJAIAPH_00042	CDS	1887	pgaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
MHJAIAPH_00043	CDS	2028	pgaA			Poly-beta-1,6-N-acetyl-D-glucosamine export protein
MHJAIAPH_00044	CDS	1206	yycB_1		COG2807	putative transporter YycB
MHJAIAPH_00045	tRNA	77				tRNA-Pro(cgg)
