locus_tag	ftype	length_bp	gene	EC_number	COG	product
IBFOMCPF_00001	tRNA	76				tRNA-Met(cat)
IBFOMCPF_00002	CDS	633				hypothetical protein
IBFOMCPF_00003	CDS	831				IS3 family transposase ISRm1
IBFOMCPF_00004	CDS	393				hypothetical protein
IBFOMCPF_00005	CDS	312				hypothetical protein
IBFOMCPF_00006	CDS	915	pgrR_1			HTH-type transcriptional regulator PgrR
IBFOMCPF_00007	CDS	309	higA-1		COG3093	Antitoxin HigA-1
IBFOMCPF_00008	CDS	219				hypothetical protein
IBFOMCPF_00009	CDS	750	hyuA_1	5.1.99.5	COG4126	Hydantoin racemase
IBFOMCPF_00010	CDS	624				hypothetical protein
IBFOMCPF_00011	CDS	678				hypothetical protein
IBFOMCPF_00012	CDS	1005	ddpF		COG1124	putative D,D-dipeptide transport ATP-binding protein DdpF
IBFOMCPF_00013	CDS	984	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
IBFOMCPF_00014	CDS	1494		3.5.4.32	COG0402	8-oxoguanine deaminase
IBFOMCPF_00015	CDS	1194	atzC	3.5.4.42		N-isopropylammelide isopropyl amidohydrolase
IBFOMCPF_00016	CDS	951	dppC_1		COG1173	Dipeptide transport system permease protein DppC
IBFOMCPF_00017	CDS	969	dppB_1		COG0601	Dipeptide transport system permease protein DppB
IBFOMCPF_00018	CDS	1563	hbpA_1		COG0747	Heme-binding protein A
IBFOMCPF_00019	CDS	1491		3.5.4.32	COG0402	8-oxoguanine deaminase
IBFOMCPF_00020	CDS	1581	mppA		COG4166	Periplasmic murein peptide-binding protein
IBFOMCPF_00021	CDS	1326	atzA	3.8.1.8		Atrazine chlorohydrolase
IBFOMCPF_00022	CDS	1314		5.1.1.15		2-aminohexano-6-lactam racemase
IBFOMCPF_00023	CDS	669	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
IBFOMCPF_00024	CDS	1029				hypothetical protein
IBFOMCPF_00025	CDS	891	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
IBFOMCPF_00026	CDS	708	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
IBFOMCPF_00027	CDS	735	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
IBFOMCPF_00028	CDS	1173	livK		COG0683	Leucine-specific-binding protein
IBFOMCPF_00029	CDS	651	rutB	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
IBFOMCPF_00030	CDS	816				hypothetical protein
IBFOMCPF_00031	CDS	903	murR			HTH-type transcriptional regulator MurR
IBFOMCPF_00032	CDS	1296	glnA_1	6.3.1.2	COG0174	Glutamine synthetase
IBFOMCPF_00033	CDS	468				hypothetical protein
IBFOMCPF_00034	CDS	906	cbl			HTH-type transcriptional regulator cbl
IBFOMCPF_00035	CDS	918	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
IBFOMCPF_00036	CDS	819	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
IBFOMCPF_00037	CDS	1629	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
IBFOMCPF_00038	CDS	864				hypothetical protein
IBFOMCPF_00039	CDS	1545				hypothetical protein
IBFOMCPF_00040	CDS	1461	abgB	3.5.1.-	COG1473	p-aminobenzoyl-glutamate hydrolase subunit B
IBFOMCPF_00041	CDS	906	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
IBFOMCPF_00042	CDS	177				hypothetical protein
IBFOMCPF_00043	CDS	2562	dmg	1.5.3.10		Dimethylglycine oxidase
IBFOMCPF_00044	CDS	360				hypothetical protein
IBFOMCPF_00045	CDS	723	cyoC_1		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
IBFOMCPF_00046	CDS	699				hypothetical protein
IBFOMCPF_00047	CDS	1779	coxN	1.9.3.1	COG0843	Alternative cytochrome c oxidase subunit 1
IBFOMCPF_00048	CDS	945	coxM_1	1.9.3.1	COG1622	Alternative cytochrome c oxidase subunit 2
IBFOMCPF_00049	CDS	387				Cytochrome c2
IBFOMCPF_00050	CDS	1068	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
IBFOMCPF_00051	CDS	834	dasC_1		COG0395	Diacetylchitobiose uptake system permease protein DasC
IBFOMCPF_00052	CDS	936	melD_1		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
IBFOMCPF_00053	CDS	1263				hypothetical protein
IBFOMCPF_00054	CDS	1173	aar_1	5.1.1.1	COG0626	L-alanine/L-glutamate racemase
IBFOMCPF_00055	CDS	717	lutR_1		COG2186	HTH-type transcriptional regulator LutR
IBFOMCPF_00056	CDS	693	mcbR_1		COG1802	HTH-type transcriptional regulator McbR
IBFOMCPF_00057	CDS	1368	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
IBFOMCPF_00058	CDS	1311	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
IBFOMCPF_00059	CDS	150				hypothetical protein
IBFOMCPF_00060	CDS	1434	ald_1	1.2.1.83		3-succinoylsemialdehyde-pyridine dehydrogenase
IBFOMCPF_00061	CDS	846				hypothetical protein
IBFOMCPF_00062	CDS	1179	dapL	2.6.1.83		LL-diaminopimelate aminotransferase
IBFOMCPF_00063	CDS	1044	gcvA_1			Glycine cleavage system transcriptional activator
IBFOMCPF_00064	CDS	1059	gpuA	3.5.3.17	COG0010	Guanidinopropionase
IBFOMCPF_00065	CDS	1080				hypothetical protein
