locus_tag	ftype	length_bp	gene	EC_number	COG	product
BOKMPFEI_00001	tRNA	74				tRNA-Glu(ttc)
BOKMPFEI_00002	tRNA	76				tRNA-Val(tac)
BOKMPFEI_00003	tRNA	77				tRNA-Met(cat)
BOKMPFEI_00004	tRNA	77				tRNA-Asp(gtc)
BOKMPFEI_00005	tRNA	76				tRNA-Phe(gaa)
BOKMPFEI_00006	tRNA	74				tRNA-Thr(tgt)
BOKMPFEI_00007	tRNA	85				tRNA-Tyr(gta)
BOKMPFEI_00008	tRNA	74				tRNA-Trp(cca)
BOKMPFEI_00009	tRNA	76				tRNA-His(gtg)
BOKMPFEI_00010	tRNA	74				tRNA-Gln(ttg)
BOKMPFEI_00011	tRNA	75				tRNA-Gly(gcc)
BOKMPFEI_00012	tRNA	71				tRNA-Cys(gca)
BOKMPFEI_00013	tRNA	89				tRNA-Leu(taa)
BOKMPFEI_00014	tRNA	85				tRNA-Leu(caa)
BOKMPFEI_00015	CDS	108				hypothetical protein
BOKMPFEI_00016	CDS	426				hypothetical protein
BOKMPFEI_00017	CDS	795				hypothetical protein
BOKMPFEI_00018	CDS	705				hypothetical protein
BOKMPFEI_00019	CDS	543	gpmB	5.4.2.-		phosphoglycerate mutase GpmB
BOKMPFEI_00020	CDS	198				hypothetical protein
BOKMPFEI_00021	CDS	270				hypothetical protein
BOKMPFEI_00022	CDS	690				hypothetical protein
BOKMPFEI_00023	CDS	804				hypothetical protein
BOKMPFEI_00024	CDS	1944	ltaS1_1		COG1368	Lipoteichoic acid synthase 1
BOKMPFEI_00025	CDS	567	sipP	3.4.21.89		Signal peptidase I P
BOKMPFEI_00026	CDS	1296		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
BOKMPFEI_00027	CDS	156				hypothetical protein
BOKMPFEI_00028	CDS	768	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
BOKMPFEI_00029	CDS	993	ssuA		COG0715	Putative aliphatic sulfonates-binding protein
BOKMPFEI_00030	CDS	831	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
BOKMPFEI_00031	CDS	1143	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
BOKMPFEI_00032	CDS	213				hypothetical protein
BOKMPFEI_00033	CDS	747		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
BOKMPFEI_00034	CDS	1470				hypothetical protein
BOKMPFEI_00035	CDS	906				hypothetical protein
BOKMPFEI_00036	CDS	282				hypothetical protein
BOKMPFEI_00037	CDS	657				hypothetical protein
BOKMPFEI_00038	tRNA	74				tRNA-Gly(tcc)
BOKMPFEI_00039	CDS	597				hypothetical protein
BOKMPFEI_00040	CDS	1152	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
BOKMPFEI_00041	CDS	903				hypothetical protein
BOKMPFEI_00042	CDS	474	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
BOKMPFEI_00043	CDS	1896				hypothetical protein
BOKMPFEI_00044	CDS	1164				hypothetical protein
BOKMPFEI_00045	CDS	633	aaeA			p-hydroxybenzoic acid efflux pump subunit AaeA
BOKMPFEI_00046	CDS	1620	emrB_1			Multidrug export protein EmrB
BOKMPFEI_00047	CDS	525	pnpB	1.6.5.6		p-benzoquinone reductase
BOKMPFEI_00048	CDS	360				hypothetical protein
BOKMPFEI_00049	CDS	201	cspB		COG1278	Cold shock protein CspB
BOKMPFEI_00050	CDS	1092				hypothetical protein
BOKMPFEI_00051	CDS	381				hypothetical protein
BOKMPFEI_00052	CDS	399				hypothetical protein
BOKMPFEI_00053	CDS	507	yhcN			putative spore germination lipoprotein YhcN
BOKMPFEI_00054	CDS	894				hypothetical protein
BOKMPFEI_00055	CDS	645				hypothetical protein
BOKMPFEI_00056	CDS	3381	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
BOKMPFEI_00057	CDS	2922	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
BOKMPFEI_00058	CDS	567	srtD	3.4.22.-	COG3764	Sortase D
BOKMPFEI_00059	CDS	909	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
BOKMPFEI_00060	CDS	348				hypothetical protein
BOKMPFEI_00061	CDS	666	hxpB	3.1.3.68	COG0637	Hexitol phosphatase B
BOKMPFEI_00062	CDS	1539				hypothetical protein
BOKMPFEI_00063	CDS	417				hypothetical protein
BOKMPFEI_00064	CDS	918				hypothetical protein
BOKMPFEI_00065	CDS	1593	pucR_1		COG2508	Purine catabolism regulatory protein
BOKMPFEI_00066	CDS	1341	tpa	2.6.1.77	COG0161	Taurine--pyruvate aminotransferase
BOKMPFEI_00067	CDS	558	glpP		COG1954	Glycerol uptake operon antiterminator regulatory protein
BOKMPFEI_00068	CDS	816	glpF		COG0580	Glycerol uptake facilitator protein
BOKMPFEI_00069	CDS	1497	glpK	2.7.1.30	COG0554	Glycerol kinase
BOKMPFEI_00070	CDS	1662	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
BOKMPFEI_00071	CDS	1746	pgcA	5.4.2.2		Phosphoglucomutase
BOKMPFEI_00072	CDS	1164				hypothetical protein
BOKMPFEI_00073	CDS	651	liaR_1		COG2197	Transcriptional regulatory protein LiaR
BOKMPFEI_00074	CDS	249				hypothetical protein
BOKMPFEI_00075	CDS	321				hypothetical protein
BOKMPFEI_00076	CDS	1476	katA_1	1.11.1.6	COG0753	Catalase
BOKMPFEI_00077	CDS	432	nsrR		COG1959	HTH-type transcriptional repressor NsrR
BOKMPFEI_00078	CDS	1200	hmp	1.14.12.17	COG1017	Flavohemoprotein
BOKMPFEI_00079	CDS	1413				hypothetical protein
BOKMPFEI_00080	CDS	1365	phoA	3.1.3.1	COG1785	Alkaline phosphatase 4
BOKMPFEI_00081	CDS	831	lytE	3.4.-.-		putative peptidoglycan endopeptidase LytE
BOKMPFEI_00082	CDS	1401	yhdG_1		COG0531	putative amino acid permease YhdG
BOKMPFEI_00083	CDS	291	yhdK			putative anti-sigma-M factor YhdK
BOKMPFEI_00084	CDS	1059	yhdL			putative anti-sigma-M factor YhdL
BOKMPFEI_00085	CDS	492	sigM		COG1595	ECF RNA polymerase sigma factor SigM
BOKMPFEI_00086	CDS	687	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
BOKMPFEI_00087	CDS	1332				hypothetical protein
BOKMPFEI_00088	CDS	441				hypothetical protein
BOKMPFEI_00089	CDS	1383				hypothetical protein
BOKMPFEI_00090	CDS	393				hypothetical protein
BOKMPFEI_00091	CDS	363	crcB_1		COG0239	Putative fluoride ion transporter CrcB
BOKMPFEI_00092	CDS	396	crcB_2			Putative fluoride ion transporter CrcB
BOKMPFEI_00093	CDS	717	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
BOKMPFEI_00094	CDS	1089				hypothetical protein
BOKMPFEI_00095	CDS	747	cobB	2.3.1.286	COG0846	NAD-dependent protein deacetylase
BOKMPFEI_00096	CDS	855		3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
BOKMPFEI_00097	CDS	858	dat_1	2.6.1.21		D-alanine aminotransferase
BOKMPFEI_00098	CDS	507	nhaX		COG0589	Stress response protein NhaX
BOKMPFEI_00099	CDS	1758	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
BOKMPFEI_00100	CDS	2016	yheH	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
BOKMPFEI_00101	CDS	645				hypothetical protein
BOKMPFEI_00102	CDS	618				hypothetical protein
BOKMPFEI_00103	CDS	117				hypothetical protein
BOKMPFEI_00104	CDS	204				Small, acid-soluble spore protein 2
BOKMPFEI_00105	CDS	1107	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
BOKMPFEI_00106	CDS	876				hypothetical protein
BOKMPFEI_00107	CDS	210				hypothetical protein
BOKMPFEI_00108	CDS	1359	yheD			Endospore coat-associated protein YheD
BOKMPFEI_00109	CDS	1113				hypothetical protein
BOKMPFEI_00110	CDS	1134				hypothetical protein
BOKMPFEI_00111	CDS	357				hypothetical protein
BOKMPFEI_00112	CDS	867	yhaX		COG0561	Stress response protein YhaX
BOKMPFEI_00113	CDS	1500	hemZ	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ
BOKMPFEI_00114	CDS	1275	iucD_1	1.14.13.59	COG3486	L-lysine N6-monooxygenase
BOKMPFEI_00115	CDS	1224	khtU		COG0475	K(+)/H(+) antiporter subunit KhtU
BOKMPFEI_00116	CDS	498	khtT_1		COG0490	K(+)/H(+) antiporter subunit KhtT
BOKMPFEI_00117	CDS	201				hypothetical protein
BOKMPFEI_00118	CDS	771	fabM	5.3.3.14	COG1024	Trans-2-decenoyl-[acyl-carrier-protein] isomerase
BOKMPFEI_00119	CDS	189				hypothetical protein
BOKMPFEI_00120	CDS	1215	yhaO		COG0420	putative metallophosphoesterase YhaO
BOKMPFEI_00121	CDS	2787	yhaN		COG4717	putative protein YhaN
BOKMPFEI_00122	CDS	948	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
BOKMPFEI_00123	CDS	231	yhaL			Sporulation protein YhaL
BOKMPFEI_00124	CDS	132				hypothetical protein
BOKMPFEI_00125	CDS	885	prsA	5.2.1.8	COG0760	Foldase protein PrsA
BOKMPFEI_00126	CDS	90				hypothetical protein
BOKMPFEI_00127	CDS	522				hypothetical protein
BOKMPFEI_00128	CDS	345	yhaI			putative protein YhaI
BOKMPFEI_00129	CDS	621	hpr		COG1846	HTH-type transcriptional regulator Hpr
BOKMPFEI_00130	CDS	357				hypothetical protein
BOKMPFEI_00131	CDS	192				hypothetical protein
BOKMPFEI_00132	CDS	519	trpP			putative tryptophan transport protein
BOKMPFEI_00133	CDS	1080	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
BOKMPFEI_00134	CDS	429	hit		COG0537	Protein hit
BOKMPFEI_00135	CDS	741	ecsA_1		COG1131	ABC-type transporter ATP-binding protein EcsA
BOKMPFEI_00136	CDS	1221				hypothetical protein
BOKMPFEI_00137	CDS	708				hypothetical protein
BOKMPFEI_00138	CDS	1188		3.5.1.47		N-acetyldiaminopimelate deacetylase
BOKMPFEI_00139	CDS	288				hypothetical protein
BOKMPFEI_00140	CDS	486	hmoB	1.14.14.18	COG2329	Heme-degrading monooxygenase HmoB
BOKMPFEI_00141	CDS	2136	pbpF		COG0744	Penicillin-binding protein 1F
BOKMPFEI_00142	CDS	1059	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
BOKMPFEI_00143	CDS	924	hemH	4.99.1.1	COG0276	Ferrochelatase
BOKMPFEI_00144	CDS	1413	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase
BOKMPFEI_00145	CDS	579				hypothetical protein
BOKMPFEI_00146	CDS	2310	smc_1			Chromosome partition protein Smc
BOKMPFEI_00147	CDS	1050	ysdC_1	3.4.11.-	COG1363	Putative aminopeptidase YsdC
BOKMPFEI_00148	CDS	1290	gltT_1			Proton/sodium-glutamate symport protein
BOKMPFEI_00149	CDS	138				hypothetical protein
BOKMPFEI_00150	CDS	750			COG1234	putative protein
BOKMPFEI_00151	CDS	990	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
BOKMPFEI_00152	CDS	1548	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
BOKMPFEI_00153	CDS	408				hypothetical protein
BOKMPFEI_00154	CDS	1284	htpX_1	3.4.24.-		Protease HtpX
BOKMPFEI_00155	CDS	1152	aprE	3.4.21.62	COG1404	Subtilisin E
BOKMPFEI_00156	CDS	585	gpmA	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
BOKMPFEI_00157	CDS	1296	hemAT		COG0840	Heme-based aerotactic transducer HemAT
BOKMPFEI_00158	CDS	1533	petC_1	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
BOKMPFEI_00159	CDS	861	ydaD_1	1.-.-.-		General stress protein 39
BOKMPFEI_00160	CDS	237				hypothetical protein
BOKMPFEI_00161	CDS	579	comK		COG4903	Competence transcription factor
BOKMPFEI_00162	CDS	483				hypothetical protein
BOKMPFEI_00163	CDS	1440	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
BOKMPFEI_00164	CDS	1170				hypothetical protein
BOKMPFEI_00165	CDS	285			COG2732	Barstar
BOKMPFEI_00166	CDS	951	yclN		COG4606	Petrobactin import system permease protein YclN
BOKMPFEI_00167	CDS	951	yclO		COG4605	Petrobactin import system permease protein YclO
BOKMPFEI_00168	CDS	759	yclP	7.2.2.-	COG4604	Petrobactin import ATP-binding protein YclP
BOKMPFEI_00169	CDS	945	yclQ		COG4607	Petrobactin-binding protein YclQ
BOKMPFEI_00170	CDS	954	tagT_1	2.7.8.-	COG1316	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagT
BOKMPFEI_00171	CDS	363				hypothetical protein
BOKMPFEI_00172	CDS	618				hypothetical protein
BOKMPFEI_00173	CDS	513	sipV	3.4.21.89	COG0681	Signal peptidase I V
BOKMPFEI_00174	CDS	1146				hypothetical protein
BOKMPFEI_00175	CDS	423				hypothetical protein
BOKMPFEI_00176	CDS	840	htpX_2	3.4.24.-		Protease HtpX
BOKMPFEI_00177	CDS	411	catD	1.-.-.-	COG2259	Putative oxidoreductase CatD
BOKMPFEI_00178	CDS	447				hypothetical protein
BOKMPFEI_00179	CDS	3510	addB	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
BOKMPFEI_00180	CDS	3705	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
BOKMPFEI_00181	CDS	1176	sbcD			Nuclease SbcCD subunit D
BOKMPFEI_00182	CDS	3396	smc_2			Chromosome partition protein Smc
BOKMPFEI_00183	CDS	300				hypothetical protein
BOKMPFEI_00184	CDS	219	gerPF_1			putative spore germination protein GerPF
BOKMPFEI_00185	CDS	432	gerPE			putative spore germination protein GerPE
BOKMPFEI_00186	CDS	177	gerPD			putative spore germination protein GerPD
BOKMPFEI_00187	CDS	615	gerPC			putative spore germination protein GerPC
BOKMPFEI_00188	CDS	234	gerPB			putative spore germination protein GerPB
BOKMPFEI_00189	CDS	222	gerPA_1			putative spore germination protein GerPA
BOKMPFEI_00190	CDS	162				hypothetical protein
