locus_tag	ftype	length_bp	gene	EC_number	COG	product
BEPCNDDL_00001	rRNA	1537				16S ribosomal RNA
BEPCNDDL_00002	tRNA	76				tRNA-Glu(ttc)
BEPCNDDL_00003	tRNA	76				tRNA-Ala(tgc)
BEPCNDDL_00004	rRNA	2905				23S ribosomal RNA
BEPCNDDL_00005	rRNA	111				5S ribosomal RNA
BEPCNDDL_00006	tRNA	77				tRNA-Asp(gtc)
BEPCNDDL_00007	tRNA	76				tRNA-Trp(cca)
BEPCNDDL_00008	CDS	957	ytfQ			ABC transporter periplasmic-binding protein YtfQ
BEPCNDDL_00009	CDS	1515	fruK	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
BEPCNDDL_00010	CDS	1002	ytfT			Inner membrane ABC transporter permease protein YtfT
BEPCNDDL_00011	CDS	993	yjfF			Inner membrane ABC transporter permease protein YjfF
BEPCNDDL_00012	CDS	828	hdfR_1			HTH-type transcriptional regulator HdfR
BEPCNDDL_00013	CDS	339				hypothetical protein
BEPCNDDL_00014	CDS	1524	comM		COG0606	Competence protein ComM
BEPCNDDL_00015	CDS	1233	yjhB			Putative metabolite transport protein YjhB
BEPCNDDL_00016	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
BEPCNDDL_00017	CDS	258	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
BEPCNDDL_00018	CDS	927	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
BEPCNDDL_00019	CDS	1851	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
BEPCNDDL_00020	CDS	1557	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
BEPCNDDL_00021	CDS	702				hypothetical protein
BEPCNDDL_00022	CDS	900	hcaR_1			Hca operon transcriptional activator HcaR
BEPCNDDL_00023	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
BEPCNDDL_00024	CDS	102				hypothetical protein
BEPCNDDL_00025	CDS	933	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
BEPCNDDL_00026	CDS	204		5.3.2.-	COG1942	putative tautomerase
BEPCNDDL_00027	CDS	786	pdeH_1	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeH
BEPCNDDL_00028	CDS	2034				hypothetical protein
BEPCNDDL_00029	CDS	759	cdh	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
BEPCNDDL_00030	CDS	1323	yhjE			Inner membrane metabolite transport protein YhjE
BEPCNDDL_00031	CDS	1020	yhjD		COG1295	Inner membrane protein YhjD
BEPCNDDL_00032	CDS	879	fadB_1	5.3.3.8		Fatty acid oxidation complex subunit alpha
BEPCNDDL_00033	CDS	1995	pdeR	3.1.4.52	COG2199	Cyclic di-GMP phosphodiesterase PdeR
BEPCNDDL_00034	CDS	498	spy		COG3678	Periplasmic chaperone Spy
BEPCNDDL_00035	CDS	2445		3.4.21.-		Extracellular serine protease
BEPCNDDL_00036	CDS	390				hypothetical protein
BEPCNDDL_00037	CDS	126				hypothetical protein
BEPCNDDL_00038	CDS	711				hypothetical protein
BEPCNDDL_00039	CDS	819				hypothetical protein
BEPCNDDL_00040	CDS	261				hypothetical protein
BEPCNDDL_00041	CDS	252	acpP_1			Acyl carrier protein
BEPCNDDL_00042	CDS	582				hypothetical protein
BEPCNDDL_00043	CDS	1332	bclA	6.2.1.25		Benzoate--CoA ligase
BEPCNDDL_00044	CDS	345				hypothetical protein
BEPCNDDL_00045	CDS	1659				hypothetical protein
BEPCNDDL_00046	CDS	429		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
