locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHGGDNOH_00001	CDS	819				hypothetical protein
EHGGDNOH_00002	CDS	3138				hypothetical protein
EHGGDNOH_00003	CDS	2586				hypothetical protein
EHGGDNOH_00004	CDS	1266	esiB_1			Secretory immunoglobulin A-binding protein EsiB
EHGGDNOH_00005	CDS	4206				hypothetical protein
EHGGDNOH_00006	CDS	924				hypothetical protein
EHGGDNOH_00007	CDS	693	gph_1	3.1.3.18		Phosphoglycolate phosphatase
EHGGDNOH_00008	CDS	417				hypothetical protein
EHGGDNOH_00009	CDS	441	yycE			putative protein YycE
EHGGDNOH_00010	CDS	1173				hypothetical protein
EHGGDNOH_00011	CDS	192				hypothetical protein
EHGGDNOH_00012	CDS	117				hypothetical protein
EHGGDNOH_00013	CDS	1833				hypothetical protein
EHGGDNOH_00014	CDS	297				hypothetical protein
EHGGDNOH_00015	CDS	837				hypothetical protein
EHGGDNOH_00016	CDS	2106	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
EHGGDNOH_00017	CDS	429				hypothetical protein
EHGGDNOH_00018	CDS	1212				hypothetical protein
EHGGDNOH_00019	CDS	495				hypothetical protein
EHGGDNOH_00020	CDS	2124				hypothetical protein
EHGGDNOH_00021	CDS	1899	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
EHGGDNOH_00022	CDS	1017	cheB_2	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
EHGGDNOH_00023	CDS	1074				hypothetical protein
EHGGDNOH_00024	CDS	438				hypothetical protein
EHGGDNOH_00025	CDS	999				hypothetical protein
EHGGDNOH_00026	CDS	912				hypothetical protein
EHGGDNOH_00027	CDS	546				hypothetical protein
EHGGDNOH_00028	CDS	966				hypothetical protein
EHGGDNOH_00029	CDS	279			COG0776	DNA-binding protein HU
EHGGDNOH_00030	CDS	579	yceD_1		COG2310	General stress protein 16U
EHGGDNOH_00031	CDS	1215				hypothetical protein
EHGGDNOH_00032	CDS	576	yceD_2		COG2310	General stress protein 16U
EHGGDNOH_00033	CDS	579	yceD_3		COG2310	General stress protein 16U
EHGGDNOH_00034	CDS	1044				hypothetical protein
EHGGDNOH_00035	CDS	1035				hypothetical protein
EHGGDNOH_00036	CDS	1146				hypothetical protein
