locus_tag	ftype	length_bp	gene	EC_number	COG	product
EBPMBNNM_00001	CDS	1413	dnaA		COG0593	Chromosomal replication initiator protein DnaA
EBPMBNNM_00002	CDS	1083	dnaN_1		COG0592	Beta sliding clamp
EBPMBNNM_00003	CDS	1269	eno	4.2.1.11	COG0148	Enolase
EBPMBNNM_00004	CDS	1449	pyk	2.7.1.40	COG0469	Pyruvate kinase
EBPMBNNM_00005	CDS	1242	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
EBPMBNNM_00006	CDS	621				hypothetical protein
EBPMBNNM_00007	CDS	552				hypothetical protein
EBPMBNNM_00008	CDS	678	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
EBPMBNNM_00009	CDS	1821	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
EBPMBNNM_00010	CDS	1197		4.4.1.11	COG0626	L-methionine gamma-lyase
EBPMBNNM_00011	CDS	651				hypothetical protein
EBPMBNNM_00012	CDS	183	rpmF		COG0333	50S ribosomal protein L32
EBPMBNNM_00013	CDS	786				hypothetical protein
EBPMBNNM_00014	CDS	270				hypothetical protein
EBPMBNNM_00015	CDS	153				hypothetical protein
EBPMBNNM_00016	CDS	561	cbaB	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
EBPMBNNM_00017	CDS	1764	cbaA	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
EBPMBNNM_00018	CDS	417				hypothetical protein
EBPMBNNM_00019	CDS	1032	mutY	3.2.2.31		Adenine DNA glycosylase
EBPMBNNM_00020	CDS	831		2.5.1.68	COG0020	(2Z,6E)-farnesyl diphosphate synthase
EBPMBNNM_00021	CDS	1596	rnd	3.1.13.5		Ribonuclease D
EBPMBNNM_00022	CDS	336				hypothetical protein
EBPMBNNM_00023	CDS	822	hmuV_1	3.6.3.-	COG4559	Hemin import ATP-binding protein HmuV
EBPMBNNM_00024	CDS	1020	hmuU		COG0609	Hemin transport system permease protein HmuU
EBPMBNNM_00025	CDS	870	btuF_1		COG0614	Vitamin B12-binding protein
EBPMBNNM_00026	CDS	645				hypothetical protein
EBPMBNNM_00027	CDS	252				hypothetical protein
EBPMBNNM_00028	CDS	285				hypothetical protein
EBPMBNNM_00029	CDS	414				hypothetical protein
EBPMBNNM_00030	CDS	357				hypothetical protein
EBPMBNNM_00031	CDS	621				hypothetical protein
EBPMBNNM_00032	CDS	870				hypothetical protein
EBPMBNNM_00033	CDS	1410	rnr_1	3.1.13.1		Ribonuclease R
EBPMBNNM_00034	CDS	261				hypothetical protein
EBPMBNNM_00035	CDS	1032	aguA	3.5.3.12	COG2957	Agmatine deiminase
EBPMBNNM_00036	CDS	1155				hypothetical protein
EBPMBNNM_00037	CDS	885		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
EBPMBNNM_00038	CDS	801	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
EBPMBNNM_00039	CDS	993				hypothetical protein
EBPMBNNM_00040	CDS	228				hypothetical protein
EBPMBNNM_00041	CDS	786	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
EBPMBNNM_00042	CDS	1218	adh	1.1.1.1	COG1063	Alcohol dehydrogenase
EBPMBNNM_00043	CDS	735				hypothetical protein
EBPMBNNM_00044	CDS	435	rcp1_1			Response regulator rcp1
EBPMBNNM_00045	CDS	291				hypothetical protein
EBPMBNNM_00046	CDS	213				hypothetical protein
EBPMBNNM_00047	CDS	699				hypothetical protein
EBPMBNNM_00048	CDS	738		3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
EBPMBNNM_00049	CDS	690				hypothetical protein
EBPMBNNM_00050	CDS	1059				hypothetical protein
EBPMBNNM_00051	CDS	1104				hypothetical protein
EBPMBNNM_00052	CDS	1416		2.1.1.-	COG2230	putative fatty acid methyltransferase
EBPMBNNM_00053	CDS	2112	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
EBPMBNNM_00054	CDS	1188	ackA	2.7.2.1	COG0282	Acetate kinase
EBPMBNNM_00055	CDS	450	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
EBPMBNNM_00056	CDS	1935				hypothetical protein
EBPMBNNM_00057	CDS	1590				hypothetical protein
EBPMBNNM_00058	CDS	711				hypothetical protein
EBPMBNNM_00059	CDS	1191		2.3.1.29	COG0156	8-amino-7-oxononanoate synthase/2-amino-3-ketobutyrate coenzyme A ligase
EBPMBNNM_00060	CDS	720	menG	2.1.1.163		Demethylmenaquinone methyltransferase
EBPMBNNM_00061	CDS	1374	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
EBPMBNNM_00062	CDS	717	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
EBPMBNNM_00063	CDS	243				hypothetical protein
EBPMBNNM_00064	CDS	624	gpmB	5.4.2.-		phosphoglycerate mutase GpmB
EBPMBNNM_00065	CDS	1419	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
EBPMBNNM_00066	CDS	2241	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
EBPMBNNM_00067	CDS	669	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
EBPMBNNM_00068	CDS	258	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
EBPMBNNM_00069	CDS	726	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
EBPMBNNM_00070	CDS	852	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
EBPMBNNM_00071	CDS	591				hypothetical protein
EBPMBNNM_00072	CDS	585				hypothetical protein
EBPMBNNM_00073	CDS	1266		3.4.11.-	COG2309	Aminopeptidase T
EBPMBNNM_00074	CDS	462	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
EBPMBNNM_00075	CDS	492	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
EBPMBNNM_00076	CDS	624	yigZ		COG1739	IMPACT family member YigZ
EBPMBNNM_00077	CDS	627				hypothetical protein
EBPMBNNM_00078	CDS	558				hypothetical protein
EBPMBNNM_00079	CDS	1002	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
EBPMBNNM_00080	CDS	507				hypothetical protein
EBPMBNNM_00081	CDS	750	argB	2.7.2.8	COG0548	Acetylglutamate kinase
EBPMBNNM_00082	CDS	609				hypothetical protein
EBPMBNNM_00083	CDS	1116	purK	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
EBPMBNNM_00084	CDS	534	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
EBPMBNNM_00085	CDS	1161	fpgS_1	6.3.2.17		Folylpolyglutamate synthase
EBPMBNNM_00086	tRNA	76				tRNA-Lys(ctt)
EBPMBNNM_00087	CDS	438				hypothetical protein
EBPMBNNM_00088	CDS	426	yhjQ		COG1145	putative cysteine-rich protein YhjQ
EBPMBNNM_00089	CDS	594				hypothetical protein
EBPMBNNM_00090	CDS	669	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
EBPMBNNM_00091	CDS	1080	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
EBPMBNNM_00092	CDS	2502	actP_1	7.2.2.9		Copper-transporting P-type ATPase
EBPMBNNM_00093	CDS	219	copA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
EBPMBNNM_00094	CDS	345				hypothetical protein
EBPMBNNM_00095	CDS	1308				hypothetical protein
EBPMBNNM_00096	CDS	930	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
EBPMBNNM_00097	CDS	189				hypothetical protein
